perm_index	ElasticNet	RandomForest	XGBoost
1	0.4878472222222222	0.5734953703703703	0.5740740740740741
2	0.39641203703703703	0.4308449074074074	0.34201388888888895
3	0.4675925925925926	0.5306712962962963	0.46875
4	0.43084490740740744	0.5529513888888888	0.5700231481481481
5	0.4730902777777778	0.34346064814814814	0.32552083333333337
6	0.4470486111111111	0.5014467592592593	0.47511574074074076
7	0.5280671296296297	0.5112847222222222	0.5286458333333333
8	0.5642361111111112	0.5274884259259259	0.43026620370370366
9	0.41203703703703703	0.4618055555555556	0.4875578703703704
10	0.39380787037037035	0.4678819444444444	0.6067708333333333
11	0.4522569444444444	0.47482638888888895	0.4736689814814815
12	0.4956597222222222	0.5434027777777778	0.4782986111111111
13	0.40943287037037035	0.37789351851851855	0.2734375
14	0.49392361111111116	0.5107060185185185	0.4574652777777778
15	0.5112847222222222	0.5277777777777778	0.3972800925925926
16	0.5127314814814815	0.5271990740740741	0.4071180555555556
17	0.533275462962963	0.5708912037037037	0.5824652777777778
18	0.5130208333333334	0.40625	0.4632523148148148
19	0.5627893518518519	0.504050925925926	0.5413773148148148
20	0.4693287037037037	0.5587384259259259	0.6603009259259259
21	0.4522569444444445	0.3313078703703704	0.3454861111111111
22	0.3975694444444444	0.47135416666666663	0.45601851851851855
23	0.46672453703703703	0.4800347222222222	0.39033564814814814
24	0.5428240740740741	0.5202546296296297	0.5509259259259259
25	0.5622106481481481	0.47974537037037035	0.34780092592592593
26	0.5896990740740741	0.5671296296296297	0.6391782407407407
27	0.48061342592592593	0.5118634259259259	0.5133101851851851
28	0.5005787037037037	0.5465856481481483	0.6125578703703703
29	0.6070601851851851	0.4661458333333333	0.435474537037037
30	0.5248842592592593	0.45109953703703703	0.49797453703703703
31	0.4409722222222222	0.5144675925925927	0.5561342592592592
32	0.3961226851851852	0.5011574074074074	0.4768518518518519
33	0.5222800925925926	0.4273726851851852	0.4629629629629629
34	0.5075231481481481	0.453125	0.48032407407407407
35	0.5523726851851852	0.48900462962962965	0.5734953703703703
36	0.3466435185185185	0.3828125	0.5656828703703703
37	0.34143518518518523	0.4267939814814814	0.4149305555555555
38	0.5483217592592592	0.4525462962962963	0.4296875
39	0.4878472222222222	0.49103009259259256	0.39178240740740733
40	0.41203703703703703	0.577835648148148	0.6637731481481481
41	0.5694444444444445	0.41666666666666663	0.44907407407407407
42	0.5222800925925926	0.44907407407407407	0.5619212962962963
43	0.4265046296296297	0.5691550925925926	0.634837962962963
44	0.3969907407407408	0.5558449074074074	0.44415509259259256
45	0.486400462962963	0.5659722222222222	0.5911458333333334
46	0.4418402777777778	0.5092592592592593	0.40364583333333337
47	0.3637152777777778	0.443287037037037	0.43344907407407407
48	0.5532407407407407	0.455150462962963	0.4603587962962963
49	0.5283564814814815	0.5810185185185185	0.6684027777777778
50	0.39236111111111105	0.4131944444444444	0.42390046296296297
51	0.552951388888889	0.6079282407407408	0.544849537037037
52	0.4626736111111111	0.4201388888888889	0.29513888888888884
53	0.4163773148148148	0.5173611111111112	0.6261574074074074
54	0.4849537037037037	0.3368055555555556	0.3839699074074074
55	0.38310185185185186	0.40162037037037035	0.5462962962962964
56	0.37615740740740744	0.41319444444444453	0.4913194444444445
57	0.5063657407407407	0.33738425925925924	0.2821180555555556
58	0.5179398148148149	0.6131365740740741	0.5416666666666666
59	0.5706018518518519	0.5208333333333334	0.5353009259259258
60	0.44502314814814814	0.5271990740740741	0.4482060185185186
61	0.5335648148148148	0.5034722222222222	0.6004050925925926
62	0.5341435185185185	0.48350694444444453	0.5656828703703703
63	0.47077546296296297	0.5625	0.5442708333333333
64	0.33912037037037035	0.44299768518518523	0.44241898148148145
65	0.49479166666666663	0.5034722222222222	0.5190972222222222
66	0.5755208333333333	0.5561342592592593	0.5610532407407407
67	0.41550925925925924	0.4739583333333333	0.48321759259259256
68	0.40740740740740744	0.39467592592592593	0.4699074074074074
69	0.4803240740740741	0.5286458333333333	0.45862268518518523
70	0.4901620370370371	0.3773148148148148	0.3561921296296296
71	0.42418981481481477	0.4108796296296296	0.40306712962962965
72	0.5324074074074074	0.5998263888888888	0.5960648148148148
73	0.3680555555555556	0.4994212962962963	0.5298032407407407
74	0.4267939814814815	0.4103009259259259	0.4895833333333333
75	0.5960648148148148	0.3874421296296296	0.42447916666666674
76	0.5017361111111112	0.5491898148148148	0.5801504629629629
77	0.5914351851851852	0.5584490740740741	0.5379050925925926
78	0.5329861111111112	0.4866898148148149	0.5300925925925926
79	0.46354166666666663	0.5659722222222223	0.5943287037037037
80	0.42129629629629634	0.5358796296296295	0.4797453703703703
81	0.4971064814814814	0.6073495370370371	0.6704282407407407
82	0.38252314814814814	0.2991898148148149	0.3443287037037037
83	0.5807291666666666	0.47019675925925924	0.6209490740740741
84	0.5057870370370371	0.5940393518518519	0.5477430555555555
85	0.4994212962962963	0.4965277777777778	0.527488425925926
86	0.5321180555555556	0.5532407407407407	0.5384837962962963
87	0.4675925925925926	0.3836805555555555	0.3480902777777778
88	0.4212962962962963	0.48755787037037035	0.5274884259259258
89	0.43344907407407407	0.3990162037037037	0.4207175925925926
90	0.6304976851851852	0.5691550925925926	0.6767939814814815
91	0.45572916666666674	0.3961226851851852	0.36689814814814814
92	0.4780092592592593	0.4797453703703704	0.3721064814814815
93	0.6064814814814815	0.5671296296296297	0.662326388888889
94	0.5613425925925926	0.5946180555555555	0.6108217592592593
95	0.5211226851851851	0.47337962962962965	0.5630787037037037
96	0.5784143518518517	0.3689236111111111	0.3587962962962963
97	0.3179976851851851	0.3385416666666667	0.42679398148148145
98	0.4606481481481482	0.4247685185185185	0.470775462962963
99	0.46759259259259267	0.3770254629629629	0.4346064814814815
100	0.5497685185185185	0.49826388888888884	0.5413773148148148
